time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z5-tyamamoto
137,42,58.0,58.0,23.073684692382813,39.0
140,43,58.0,60.0,22.905258178710938,39.0
143,44,58.0,62.0,23.15789794921875,39.0
146,45,58.0,56.0,23.242111206054688,39.0
149,46,58.0,62.0,23.326309204101563,39.0
152,47,58.0,64.0,23.073684692382813,39.0
155,48,58.0,58.0,22.989471435546875,39.0
158,49,58.0,58.0,23.15789794921875,39.0
161,50,58.0,64.0,23.15789794921875,39.0
164,51,58.0,62.0,23.073684692382813,39.0
167,52,58.0,58.0,23.15789794921875,39.0
170,53,58.0,56.0,23.073684692382813,39.0
173,54,58.0,54.0,23.326309204101563,39.0
176,55,58.0,58.0,23.242111206054688,39.0
179,56,58.0,66.0,23.242111206054688,39.0
182,57,58.0,56.0,23.326309204101563,39.0
185,58,58.0,62.0,23.242111206054688,39.0
188,59,62.0,62.0,23.326309204101563,39.0
191,60,62.0,62.0,23.494735717773438,39.0
194,61,62.0,58.0,23.578948974609375,39.0
197,62,62.0,54.0,23.326309204101563,39.0
201,63,62.0,58.0,23.663162231445313,39.0
204,64,62.0,64.0,23.74737548828125,39.0
207,65,64.0,62.0,24.168426513671875,39.0
210,66,64.0,64.0,24.505264282226563,39.0
213,67,64.0,66.0,24.505264282226563,39.0
216,68,66.0,68.0,24.926315307617188,39.0
219,69,66.0,72.0,25.178955078125,39.0
222,70,68.0,64.0,25.600006103515625,46.0
225,71,68.0,68.0,25.852630615234375,46.0
228,72,70.0,70.0,26.442108154296875,46.0
231,73,70.0,70.0,26.694732666015625,46.0
234,74,71.0,72.0,27.11578369140625,46.0
237,75,72.0,76.0,27.873687744140625,46.0
240,76,72.0,78.0,28.042098999023438,46.0
243,77,74.0,78.0,28.968429565429688,53.0
246,78,74.0,78.0,29.1368408203125,53.0
249,79,76.0,86.0,30.147369384765625,53.0
252,80,76.0,84.0,30.399993896484375,53.0
255,81,77.0,88.0,31.242111206054688,59.0
258,82,78.0,88.0,32.08421325683594,59.0
261,83,78.0,98.0,32.50526428222656,59.0
264,84,79.0,88.0,33.600006103515625,46.0
