199176,199677,501,0.626016304,65.85263062,201,176.0842285,501,0,0,0,0.25,0,0,0,0.25,0,0.5,198709,201043,2334,0.896889818,25.6842041,2334,249.0947418,1503,0,0.071428571,0.071428571,0,0,0,0.071428571,0,0.071428571,0.714285714,toLeft
203387,203989,602,0.744824272,44.63157654,301,174.9052582,0,0,0,0.2,0,0,0,0,0,0.4,0.4,203022,203627,605,0.598728362,95.66316223,302,238.4000092,0,0,0,0,0,0.4,0,0,0,0,0.6,toLeft
207701,208402,701,0.709340931,51.62104797,401,177.5999908,701,0,0,0.2,0,0,0,0,0.2,0,0.6,207437,207838,401,0.662624798,79.66316223,300,236.1263123,0,0,0,0,0.25,0,0,0.25,0,0,0.25,toLeft
212510,213011,501,0.60821779,69.05264282,200,176.2526245,501,0,0,0,0.25,0,0,0.25,0,0,0.5,211956,212566,610,0.712137105,69.30526733,304,240.7579041,0,0,0,0.2,0,0,0,0.2,0,0,0.6,toLeft
219024,219425,401,0.645470327,68.54737854,100,193.3473663,301,0,0,0,0.25,0,0,0,0,0,0.75,217988,218925,937,0.982274218,4.463165283,619,251.7894745,937,0.285714286,0.142857143,0.142857143,0,0,0,0,0.142857143,0,0.285714286,upLeft
223733,224035,302,0.41754223,107.3684235,102,184.3368378,0,0,0,0,0,0,0.333333333,0,0,0,0.666666667,223222,223828,606,0.918817948,20.12631226,305,247.9157867,0,0.4,0,0,0,0,0,0,0.2,0,0.2,upLeft
228464,228954,490,0.428960509,105.9368439,303,185.5157928,0,0,0,0,0,0,0.25,0,0,0,0.75,228044,228785,741,0.957257079,11.70526123,301,273.8526306,628,0.166666667,0,0.166666667,0,0,0.166666667,0,0,0.166666667,0.333333333,upLeft
233463,233864,401,0.543508545,82.61053467,100,180.9684143,0,0,0,0,0,0.25,0.25,0,0,0,0.5,232862,233564,702,0.923812787,18.77894592,301,246.4842224,0,0.166666667,0.166666667,0,0,0,0,0,0.166666667,0,0.5,upLeft
237873,238775,902,0.898148113,18.52632141,701,181.8947296,0,0,0.25,0,0,0.25,0,0,0,0,0.5,237773,238375,602,0.915207673,20.80000305,301,245.3052521,0,0.2,0,0,0,0,0.2,0.2,0,0,0.4,upLeft
243389,243890,501,0.442298855,102.1473694,301,183.1578979,0,0,0,0,0,0,0.25,0,0,0.25,0.5,242988,243594,606,0.913734799,21.47367859,300,248.9263153,0,0.2,0,0,0,0.2,0,0,0,0.2,0.4,upLeft
