,nexus7-2013-amiyoshi
21045,89.26316833496094
21241,77.726318359375
21342,123.70526123046875
21545,189.05262756347656
21643,195.1999969482422
21843,198.65264892578125
21943,201.17893981933594
22054,198.3157958984375
22246,195.11578369140625
22348,200.00001525878906
22556,202.35791015625
22649,197.3894805908203
22850,197.22105407714844
22952,201.60000610351562
23062,201.26315307617188
23253,196.9684295654297
23355,197.726318359375
23563,202.6105194091797
23656,200.5894775390625
23857,196.79998779296875
23958,198.56842041015625
24069,201.51577758789062
24261,193.60000610351562
24362,109.97895812988281
24571,73.51579284667969
24664,62.736846923828125
24864,55.15789794921875
24968,164.54736328125
25084,200.08421325683594
25267,198.56842041015625
25370,195.03158569335938
25578,198.65264892578125
25671,201.26315307617188
25871,198.65264892578125
25973,196.04209899902344
26083,200.08421325683594
26274,201.51577758789062
26375,196.79998779296875
26582,197.4736785888672
26676,201.60000610351562
26877,198.4842071533203
26977,196.2947540283203
27092,200.33685302734375
27281,202.02105712890625
27382,197.9789581298828
27590,196.9684295654297
27684,201.17893981933594
27885,201.26315307617188
27986,196.46315002441406
28186,169.09474182128906
28287,80.67369079589844
28388,82.77894592285156
28594,72.0
28689,155.28421020507812
28889,200.25262451171875
28990,196.2105255126953
29191,196.2947540283203
29291,200.7578887939453
29391,198.821044921875
29606,196.2105255126953
29693,198.65264892578125
29893,201.8526153564453
29993,198.56842041015625
30206,197.22105407714844
30306,200.7578887939453
30406,201.8526153564453
30607,197.30526733398438
30707,197.8947296142578
30907,202.1052703857422
31009,198.98948669433594
31210,196.12631225585938
31311,200.33685302734375
31412,201.43157958984375
31613,198.3157958984375
31719,196.71578979492188
31915,201.51577758789062
32018,200.7578887939453
32217,196.9684295654297
32319,197.4736785888672
32419,202.18946838378906
32619,200.9263153076172
32719,196.71578979492188
32922,200.1684112548828
33024,202.02105712890625
33224,196.04209899902344
33327,129.6842041015625
33428,84.12631225585938
33628,83.11579895019531
33730,90.8631591796875
33931,146.69473266601562
34031,178.02105712890625
34232,199.1578826904297
34334,196.3789520263672
34432,199.83157348632812
34633,202.1052703857422
34734,196.79998779296875
34936,197.30526733398438
35036,201.26315307617188
35236,201.09474182128906
35336,197.05262756347656
35437,198.3157958984375
35637,202.35791015625
35737,199.2421112060547
35938,196.3789520263672
36038,199.2421112060547
36239,202.6947479248047
36339,196.71578979492188
36439,149.55789184570312
36640,93.05264282226562
36741,85.05264282226562
