,nexus7-2013-haida
40980,238.06317138671875
41180,271.4105224609375
41289,268.631591796875
41481,272.84210205078125
41587,274.02105712890625
41781,269.0526428222656
41889,268.631591796875
42082,269.1368408203125
42192,271.3263244628906
42382,218.77894592285156
42495,30.652633666992188
42683,9.768417358398438
42884,5.726318359375
43084,12.631576538085938
43284,34.273681640625
43384,116.29473876953125
43485,126.48420715332031
43685,146.8631591796875
43785,150.6526336669922
43986,149.8947296142578
44186,166.82106018066406
44287,171.6210479736328
44487,244.88421630859375
44587,277.3052673339844
44788,270.4000244140625
44888,267.8736877441406
45088,270.3157958984375
45188,273.2631530761719
45389,274.6947326660156
45489,269.3894958496094
45690,266.189453125
45790,176.50526428222656
45990,20.968429565429688
46091,15.74737548828125
46291,19.031585693359375
46391,36.21052551269531
46591,110.98947143554688
46692,135.0736846923828
46892,155.11578369140625
46992,149.1368408203125
47193,156.2105255126953
47293,193.85263061523438
47493,178.27366638183594
47593,218.5263214111328
47794,270.06317138671875
47894,268.8841857910156
48094,272.5894775390625
48194,272.5052490234375
48395,268.7157897949219
48495,267.7894592285156
48695,272.4210510253906
48796,272.25262451171875
48996,272.84210205078125
49096,268.8841857910156
49296,267.45263671875
49397,272.6736755371094
49597,273.93682861328125
49697,271.4105224609375
49898,268.7157897949219
49998,267.3684387207031
50198,273.0105285644531
50298,273.93682861328125
50499,269.47369384765625
50599,253.30526733398438
50799,157.3894805908203
50899,78.65263366699219
51100,71.57894897460938
51200,58.77894592285156
51400,51.45263671875
51601,48.33683776855469
51701,48.5894775390625
51901,92.71578979492188
52002,202.6105194091797
52102,269.3052673339844
52302,274.3578796386719
52502,273.93682861328125
52603,273.8526306152344
52803,267.70526123046875
52903,268.4631652832031
53104,272.7579040527344
53204,273.8526306152344
53404,273.0105285644531
53504,268.8841857910156
53705,264.6737060546875
53805,175.24209594726562
54005,101.64210510253906
54106,97.76841735839844
54306,107.03158569335938
54406,96.08421325683594
54607,95.91578674316406
54707,90.52632141113281
54907,68.96842956542969
55007,157.8947296142578
55208,272.9263000488281
