,nexus7-2013-amiyoshi
62176,199.8315735
62277,196.378952
62478,199.2421112
62578,201.7684174
62679,197.8947296
62879,196.294754
62979,200.0842133
63180,201.3473816
63280,195.1999969
63480,95.15789795
63580,7.326309204
63781,3.621047974
63881,5.978942871
64182,201.2631531
64282,199.8315735
64482,196.042099
64582,198.6526489
64682,201.5157776
64883,197.8105164
64983,196.46315
65183,198.3157959
65284,200.5894775
65484,197.1368256
65584,194.9473724
65684,200.336853
65885,200.1684113
65985,196.294754
66286,200.8421021
66487,200.0000153
66587,196.2105255
66687,198.5684204
66889,200.6736908
66988,198.3157959
67188,196.294754
67288,198.2315826
67489,201.2631531
67589,198.1473541
67689,196.042099
67897,199.8315735
67990,201.5157776
68190,197.1368256
68290,196.9684296
68491,199.8315735
68591,200.9263153
68691,195.4526215
68892,197.3052673
68992,201.4315796
69192,200.5894775
69292,196.5473633
69493,198.5684204
69593,200.8421021
69693,196.378952
69894,194.7789307
69994,200.336853
70194,201.2631531
70295,187.2842102
70496,99.19999695
70596,16.42105103
70797,22.73684692
70897,40.84210205
70997,56.58947754
71198,176.9263
71298,197.8947296
71499,197.3052673
71599,200.421051
71800,201.7684174
71901,197.3052673
72002,196.7157898
72202,200.0842133
72303,200.7578888
72503,196.5473633
72605,198.0631561
72806,201.6000061
72908,198.2315826
73008,195.3684235
73209,199.8315735
73310,200.9263153
73510,194.6947327
73610,172.4631653
73811,150.7368469
73914,92.96842957
74015,89.17895508
74216,93.55789185
74318,145.8526306
74518,196.378952
74619,196.042099
74820,199.8315735
74920,202.4421082
75026,197.0526276
75221,197.2210541
75321,201.6842194
75521,200.0000153
75621,195.4526215
75822,197.0526276
75922,201.4315796
76022,197.3894806
76222,195.4526215
76323,198.9052582
76523,200.9263153
76624,195.0315857
76824,182.7368469
76925,158.1473694
77025,123.3684235
77225,97.68421936
77326,99.03158569
77526,110.9052734
77631,174.9052582
77827,195.1999969
77927,198.7368469
78032,201.6842194
78228,197.5578918
78328,196.7157898
78529,201.2631531
78629,200.5894775
78830,196.9684296
78933,198.6526489
79033,202.1894684
79231,198.1473541
