diffStartTime,diffEndTime,RatioGestureTime,RatioDeepestRate,Device1Descent,Device1Ascent,Device1DiffDescentAscent,Device1DeepestRate,Device1Deepness0-10,Device1Deepness11-20,Device1Deepness21-30,Device1Deepness31-40,Device1Deepness41-50,Device1Deepness51-60,Device1Deepness61-70,Device1Deepness71-80,Device1Deepness81-90,Device1Deepness91-100,Device2Descent,Device2Ascent,Device2DiffDescentAscent,Device2DeepestRate,Device2Deepness0-10,Device2Deepness11-20,Device2Deepness21-30,Device2Deepness31-40,Device2Deepness41-50,Device2Deepness51-60,Device2Deepness61-70,Device2Deepness71-80,Device2Deepness81-90,Device2Deepness91-100,gesture
268,268,1,1.130264395,-1.10E-06,1.10E-06,-2.19E-06,97.17895508,0,0,0,0,0,0.5,0,0,0,0.5,-9.73E-07,9.68E-09,-9.82E-07,85.97895813,0,0,0,0.25,0,0,0.25,0,0,0.5,toLeft
370,282,0.824351297,1.154888789,-1.34E-06,1.34E-06,-2.68E-06,100.4631653,0,0,0,0,0,0.25,0.25,0,0,0.5,-9.61E-07,9.55E-09,-9.70E-07,86.98947144,0,0,0,0.25,0,0.25,0,0,0,0.5,toLeft
474,374,0.833610649,1.01170977,-7.81E-07,7.79E-07,-1.56E-06,72.75790405,0,0,0,0,0.25,0,0.25,0,0,0.5,-6.46E-07,6.42E-09,-6.53E-07,71.91578674,0,0,0,0.2,0,0,0,0,0.2,0.6,toLeft
473,462,0.982055465,0.736059478,-4.38E-07,4.36E-07,-8.74E-07,50.02105713,0,0,0.2,0,0,0,0,0.2,0.2,0.4,-5.85E-07,5.81E-09,-5.91E-07,67.957901,0,0,0.2,0,0,0,0,0,0.4,0.4,toLeft
367,367,1,0.954248302,-5.26E-07,5.24E-07,-1.05E-06,61.47367859,0,0,0,0.2,0,0.2,0,0,0,0.6,-5.52E-07,5.49E-09,-5.58E-07,64.42105103,0,0,0.2,0,0,0.2,0,0,0.2,0.4,toLeft
467,-1366,0.214652956,2.56393503,-6.61E-07,6.59E-07,-1.32E-06,65.85263062,0,0,0,0.25,0,0,0,0.25,0,0.5,-5.60E-08,5.51E-10,-5.66E-08,25.6842041,0,0.071428571,0.071428571,0,0,0,0.071428571,0,0.071428571,0.714285714,toLeft
365,362,0.995041322,0.466549249,-3.65E-07,3.64E-07,-7.29E-07,44.63157654,0,0,0.2,0,0,0,0,0,0.4,0.4,-7.80E-07,7.75E-09,-7.88E-07,95.66316223,0,0,0,0,0.4,0,0,0,0,0.6,toLeft
264,564,1.748129676,0.64799145,-3.55E-07,3.54E-07,-7.09E-07,51.62104797,0,0,0.2,0,0,0,0,0.2,0,0.6,-9.59E-07,9.53E-09,-9.69E-07,79.66316223,0,0,0,0.25,0,0,0.25,0,0,0.25,toLeft
554,445,0.821311475,0.996354902,-6.49E-07,6.48E-07,-1.30E-06,69.05264282,0,0,0,0.25,0,0,0.25,0,0,0.5,-5.37E-07,5.33E-09,-5.42E-07,69.30526733,0,0,0.2,0,0,0,0.2,0,0,0.6,toLeft
1036,500,0.42796158,15.35846741,-7.81E-07,7.79E-07,-1.56E-06,68.54737854,0,0,0,0.25,0,0,0,0,0,0.75,-2.19E-08,2.17E-10,-2.21E-08,4.463165283,0.285714286,0.142857143,0.142857143,0,0,0,0,0.142857143,0,0.285714286,upLeft
511,207,0.498349835,5.334729091,-1.59E-06,1.59E-06,-3.18E-06,107.3684235,0,0,0,0,0,0.333333333,0,0,0,0.666666667,-1.49E-07,1.48E-09,-1.50E-07,20.12631226,0.4,0,0,0,0,0,0,0.2,0,0.2,upLeft
420,169,0.661268556,9.050361356,-9.48E-07,9.46E-07,-1.89E-06,105.9368439,0,0,0,0,0,0.25,0,0,0,0.75,-6.94E-08,6.90E-10,-7.01E-08,11.70526123,0.166666667,0,0.166666667,0,0,0.166666667,0,0,0.166666667,0.333333333,upLeft
601,300,0.571225071,4.399103923,-8.83E-07,8.81E-07,-1.76E-06,82.61053467,0,0,0,0,0.25,0.25,0,0,0,0.5,-1.15E-07,1.14E-09,-1.16E-07,18.77894592,0.166666667,0.166666667,0,0,0,0,0,0.166666667,0,0.5,upLeft
100,400,1.49833887,0.890688399,-8.66E-08,8.63E-08,-1.73E-07,18.52632141,0,0.25,0,0,0.25,0,0,0,0,0.5,-1.45E-07,1.45E-09,-1.47E-07,20.80000305,0.2,0,0,0,0,0.2,0.2,0,0,0.4,upLeft
401,296,0.826732673,4.756864036,-8.39E-07,8.37E-07,-1.68E-06,102.1473694,0,0,0,0,0,0.25,0,0,0.25,0.5,-1.46E-07,1.45E-09,-1.47E-07,21.47367859,0.2,0,0,0,0.2,0,0,0,0.2,0.4,upLeft
692,266,0.319488818,3.803571544,-1.44E-06,1.44E-06,-2.89E-06,71.74737549,0,0,0,0,0.333333333,0,0,0,0,0.666666667,-1.22E-07,1.21E-09,-1.23E-07,18.86315918,0.2,0,0.2,0,0,0,0,0,0.2,0.4,upLeft
571,247,0.4816,4.712643773,-9.02E-07,9.01E-07,-1.80E-06,69.05264282,0,0,0,0.333333333,0,0,0,0,0,0.666666667,-9.24E-08,9.20E-10,-9.33E-08,14.65263367,0.25,0,0,0,0,0.25,0,0,0,0.5,upLeft
341,140,0.665557404,4.168583711,-8.85E-07,8.83E-07,-1.77E-06,91.62106323,0,0,0,0,0.25,0,0,0,0,0.75,-1.41E-07,1.41E-09,-1.43E-07,21.97894287,0.2,0.2,0,0,0,0,0,0,0,0.6,upLeft
601,515,0.853492334,16.3947524,-7.95E-07,7.93E-07,-1.59E-06,104.9263153,0,0,0,0,0,0.25,0,0,0.25,0.5,-4.15E-08,4.13E-10,-4.19E-08,6.399993896,0.2,0.2,0,0.2,0,0,0,0,0,0.4,upLeft
302,602,1.993377483,0.273694327,-1.47E-07,1.47E-07,-2.94E-07,23.83157349,0,0.4,0,0,0,0,0,0,0,0.6,-1.07E-06,1.07E-08,-1.08E-06,87.07368469,0,0,0,0.333333333,0,0,0,0,0,0.666666667,downLeft
357,480,1.257322176,0.198910112,-1.12E-07,1.12E-07,-2.24E-07,18.44210815,0,0.2,0,0,0,0,0.2,0,0.2,0.4,-7.11E-07,7.07E-09,-7.18E-07,92.71578979,0,0,0,0.25,0,0,0,0.25,0,0.5,downLeft
363,562,1.493796526,0.04891916,-2.16E-08,2.16E-08,-4.32E-08,3.621047974,0.2,0,0,0,0.2,0,0,0,0,0.6,-6.61E-07,6.59E-09,-6.68E-07,74.02105713,0,0,0,0.25,0,0.25,0,0,0,0.5,downLeft
755,482,0.610556348,0.042666598,-2.22E-08,2.22E-08,-4.44E-08,2.694732666,0.2,0.2,0,0,0,0,0.2,0,0,0.4,-3.19E-07,3.17E-09,-3.22E-07,63.15789795,0,0,0.2,0,0,0,0,0.2,0,0.6,downLeft
761,754,0.988505747,0.052458933,-1.55E-08,1.55E-08,-3.10E-08,2.694732666,0.25,0.25,0,0,0,0,0,0,0,0.5,-2.93E-07,2.92E-09,-2.96E-07,51.36842346,0,0,0.2,0,0,0.2,0,0.2,0,0.4,downLeft
653,764,1.158345221,0.04388295,-1.17E-08,1.17E-08,-2.33E-08,2.778945923,0.285714286,0,0.142857143,0,0,0,0,0,0.142857143,0.428571429,-3.09E-07,3.07E-09,-3.12E-07,63.32632446,0,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333,downLeft
552,553,1.001663894,0.057951411,-2.02E-08,2.02E-08,-4.04E-08,3.621047974,0.2,0,0,0,0,0.2,0,0.2,0,0.4,-3.50E-07,3.48E-09,-3.53E-07,62.48420715,0,0,0.2,0,0,0.2,0,0,0.2,0.4,downLeft
646,542,0.828099174,0.028061208,-1.22E-08,1.22E-08,-2.44E-08,1.852630615,0.2,0.2,0,0,0,0,0.2,0,0,0.4,-3.62E-07,3.60E-09,-3.65E-07,66.02105713,0,0,0.2,0,0,0.2,0,0,0.2,0.2,downLeft
