time,step,nexus7-2012-hmurakami,nexus7-2013-haida
912,304,1536.0,457.9368591308594
915,305,1522.0,452.631591796875
918,306,1502.0,440.5052795410156
921,307,1480.0,431.8315734863281
924,308,1462.0,423.2420959472656
927,309,1436.0,414.0631408691406
930,310,1420.0,404.88421630859375
933,311,1410.0,399.2420959472656
936,312,1390.0,391.9158020019531
939,313,1356.0,404.7158203125
942,314,1348.0,402.52630615234375
945,315,1330.0,398.3157653808594
948,316,1318.0,373.3052673339844
951,317,1304.0,367.9999694824219
954,318,1282.0,369.0947570800781
957,319,1264.0,369.0947570800781
960,320,1248.0,362.9473876953125
963,321,1234.0,359.15789794921875
966,322,1218.0,349.5578918457031
969,323,1200.0,352.5894775390625
972,324,1174.0,343.5789489746094
975,325,1152.0,347.6210632324219
978,326,1148.0,341.810546875
981,327,1134.0,334.4000244140625
984,328,1114.0,327.5789489746094
987,329,1100.0,320.2526550292969
990,330,1078.0,309.810546875
993,331,1062.0,307.70526123046875
996,332,1044.0,292.0421142578125
999,333,1032.0,288.33685302734375
1002,334,1014.0,299.5368347167969
1005,335,1000.0,287.8315734863281
1008,336,988.0,283.7894592285156
1011,337,974.0,277.1368408203125
1014,338,948.0,282.4421081542969
1017,339,938.0,271.8315734863281
1020,340,920.0,259.368408203125
1023,341,908.0,261.5578918457031
1027,342,890.0,263.5789489746094
1030,343,884.0,257.7684020996094
1033,344,866.0,253.81053161621094
1036,345,852.0,249.5157928466797
1039,346,834.0,244.88421630859375
1042,347,820.0,242.6105194091797
1045,348,,240.84210205078125
1048,349,790.0,227.2842254638672
1051,350,780.0,221.64210510253906
1054,351,768.0,224.16842651367188
1057,352,744.0,218.86317443847656
1060,353,736.0,214.9894561767578
1063,354,720.0,213.47369384765625
1066,355,706.0,206.5684051513672
1069,356,696.0,204.0421142578125
1072,357,680.0,202.52630615234375
1075,358,666.0,192.7578887939453
1078,359,658.0,188.63157653808594
1081,360,644.0,191.57896423339844
1084,361,632.0,183.74737548828125
1087,362,618.0,180.3789520263672
1090,363,612.0,177.6842041015625
1093,364,598.0,173.97894287109375
1096,365,580.0,170.6105194091797
1099,366,572.0,165.1368408203125
1102,367,558.0,163.03158569335938
1105,368,548.0,163.7894744873047
1108,369,538.0,155.70526123046875
1111,370,528.0,
1114,371,514.0,150.90525817871094
1117,372,496.0,151.15789794921875
1120,373,498.0,144.42105102539063
1123,374,488.0,140.96841430664063
1126,375,468.0,140.3789520263672
1129,376,460.0,137.01052856445313
1132,377,448.0,134.0631561279297
1135,378,438.0,128.7578887939453
1138,379,440.0,126.65263366699219
1141,380,418.0,125.05264282226563
1144,381,410.0,121.26316833496094
1147,382,404.0,115.87368774414063
1150,383,394.0,118.40000915527344
1153,384,386.0,111.66316223144531
1156,385,366.0,109.38948059082031
1159,386,358.0,106.44210815429688
1162,387,352.0,105.68421936035156
1165,388,342.0,100.37895202636719
1168,389,334.0,99.62106323242188
1171,390,326.0,97.60000610351563
1174,391,314.0,94.23158264160156
1177,392,316.0,93.1368408203125
1180,393,304.0,90.44210815429688
1183,394,298.0,88.16842651367188
1186,395,294.0,86.9052734375
1189,396,278.0,83.45263671875
1192,397,268.0,80.25263977050781
1195,398,264.0,79.24211120605469
1198,399,260.0,77.22105407714844
1201,400,254.0,76.63157653808594
1204,401,246.0,72.84210205078125
1207,402,234.0,70.82106018066406
1210,403,238.0,69.55789184570313
1213,404,228.0,68.29473876953125
1216,405,218.0,66.18948364257813
1219,406,222.0,64.84210205078125
1222,407,214.0,63.15789794921875
1225,408,204.0,61.726318359375
1228,409,194.0,59.95790100097656
1231,410,190.0,57.600006103515625
1234,411,186.0,55.578948974609375
1237,412,176.0,54.48420715332031
1240,413,174.0,52.88421630859375
1243,414,160.0,51.45263671875
1246,415,168.0,50.02105712890625
1249,416,156.0,48.5894775390625
1252,417,150.0,47.15789794921875
1255,418,148.0,46.147369384765625
1258,419,150.0,44.63157653808594
1261,420,144.0,44.21052551269531
1264,421,138.0,42.8631591796875
1267,422,130.0,42.02105712890625
1270,423,136.0,40.757904052734375
1273,424,126.0,39.49473571777344
1276,425,128.0,38.48420715332031
1279,426,120.0,37.557891845703125
1282,427,120.0,36.715789794921875
1285,428,110.0,35.19999694824219
1288,429,112.0,34.52632141113281
1291,430,108.0,33.68421936035156
1294,431,98.0,33.010528564453125
1297,432,108.0,32.421051025390625
1300,433,96.0,31.831573486328125
1303,434,98.0,31.4105224609375
1306,435,96.0,30.821060180664063
1309,436,90.0,29.894744873046875
1312,437,94.0,29.557891845703125
1315,438,86.0,28.88421630859375
1318,439,92.0,28.29473876953125
1321,440,86.0,28.126312255859375
1324,441,82.0,27.284210205078125
1327,442,84.0,26.947372436523438
1330,443,80.0,26.61053466796875
1333,444,80.0,26.442108154296875
1336,445,82.0,25.852630615234375
1339,446,78.0,25.6842041015625
1342,447,80.0,25.43157958984375
1345,448,82.0,25.094741821289063
1348,449,78.0,24.84210205078125
1351,450,76.0,24.84210205078125
1354,451,72.0,24.5894775390625
1357,452,72.0,24.505264282226563
1360,453,82.0,24.505264282226563
1363,454,70.0,24.505264282226563
1366,455,78.0,24.336837768554688
1369,456,76.0,24.5894775390625
1372,457,76.0,24.421051025390625
1375,458,68.0,24.336837768554688
1378,459,76.0,24.505264282226563
1381,460,74.0,24.505264282226563
1384,461,72.0,24.336837768554688
1387,462,72.0,24.336837768554688
1390,463,78.0,24.336837768554688
1393,464,74.0,24.421051025390625
1396,465,78.0,24.336837768554688
1399,466,78.0,24.336837768554688
1402,467,80.0,24.252639770507813
1405,468,76.0,24.252639770507813
1408,469,76.0,24.336837768554688
1411,470,76.0,24.421051025390625
1414,471,72.0,24.421051025390625
1417,472,72.0,24.336837768554688
1420,473,76.0,2.694732666015625
1423,474,76.0,24.5894775390625
1426,475,70.0,24.505264282226563
1429,476,72.0,24.421051025390625
1432,477,76.0,24.505264282226563
1435,478,80.0,24.421051025390625
1438,479,74.0,24.421051025390625
1441,480,70.0,24.673690795898438
1444,481,70.0,24.673690795898438
1447,482,80.0,24.673690795898438
1450,483,76.0,24.421051025390625
1453,484,72.0,24.505264282226563
1456,485,80.0,24.505264282226563
1459,486,76.0,24.673690795898438
1462,487,76.0,24.252639770507813
1465,488,80.0,24.421051025390625
1468,489,74.0,24.421051025390625
1471,490,74.0,24.421051025390625
1474,491,76.0,24.505264282226563
1477,492,80.0,24.336837768554688
1480,493,76.0,24.5894775390625
1483,494,70.0,24.421051025390625
1486,495,74.0,24.421051025390625
1489,496,76.0,24.421051025390625
1492,497,74.0,24.505264282226563
1495,498,74.0,24.5894775390625
