,nexus7-2013-amiyoshi
37601,176.6736908
37794,177.1789398
37904,181.3894806
38099,177.0947418
38206,176.6736908
38306,180.6315613
38500,178.0210571
38609,175.3263092
38801,179.1999969
38909,162.6947327
39103,100.5473785
39213,81.34736633
39315,85.13684082
39506,80.50526428
39619,72.50526428
39807,97.09474182
39907,168.0842133
40108,177.0947418
40208,180.8842163
40308,177.3473663
40511,176.0842285
40625,179.9578857
40814,177.2631531
40925,174.9894714
41117,179.7894897
41218,179.1999969
41326,174.6526337
41518,178.7789612
41626,180.5473633
41819,175.2420959
41926,178.4421082
42120,166.8210602
42220,77.81053162
42321,70.14736938
42520,88
42638,94.23158264
42822,89.09474182
42931,86.82106018
43123,130.1052704
43233,170.9473724
43426,179.3684235
43534,179.8736877
43633,175.9157715
43827,177.2631531
43937,180.7157898
44128,176.0842285
44239,176.4210663
44433,179.5368347
44533,176.5052643
44652,176.4210663
44835,180.2947235
44948,177.9368286
45138,174.4842072
45256,179.1999969
45440,179.7894897
45559,175.2420959
45658,152.421051
45841,69.89474487
45945,65.43157959
46243,86.82106018
46445,79.83158875
46567,68.04211426
46747,131.621048
46867,172.7157898
46968,174.6526337
47150,180.4631653
47269,179.2841949
47452,174.9894714
47572,179.3684235
47673,180.9684143
47855,175.1578979
47972,177.1789398
48156,180.4631653
48261,175.3263092
48459,177.0105286
48578,181.1368561
48761,177.1789398
48878,175.2420959
48981,169.7684174
49164,80.92631531
49269,62.90525818
49467,68.80000305
49768,69.38948059
49889,67.78947449
50171,165.3894806
50292,176.4210663
50474,181.0526276
50594,177.5157928
50775,176.9263
50895,180.2947235
50996,177.5157928
51178,174.8210602
51304,179.7894897
51480,179.621048
51601,175.0737
51782,178.5263214
51902,179.5368347
52003,175.3263092
52185,177.2631531
52304,181.7263184
52487,176.6736908
52608,176.2526245
52790,180.6315613
52908,177.4315948
53009,174.9894714
53192,181.0526276
53311,178.3578949
53494,174.0631714
53615,179.5368347
53797,179.4526367
53915,175.2420959
54016,177.4315948
54199,178.7789612
54319,70.56842041
54503,6.821060181
54620,1.263153076
54807,1.094741821
54914,3.536834717
55107,12.21052551
55225,118.4000092
55326,173.2210541
55508,180.042099
55811,175.8315735
55927,179.7052612
56112,180.6315613
56231,174.6526337
56332,178.1052704
56515,180.9684143
56635,174.8210602
56817,175.9157715
56937,180.378952
57120,171.8736877
57241,58.77894592
57422,7.747375488
57543,5.810531616
57645,6.231582642
57826,12.96841431
57945,77.13684082
58127,166.7368469
58248,179.2841949
58347,180.4631653
58530,174.9894714
58649,178.1052704
58832,181.3894806
58951,176.8421021
59134,177.3473663
59254,180.2947235
59355,176.7579041
59537,175.0737
59658,180.6315613
59839,176.8421021
59939,174.4842072
60139,127.8315887
60242,13.97894287
60445,3.70526123
60563,1.768417358
60664,5.221054077
60846,52.71578979
60965,173.5578918
61148,180.1263275
61267,176.5052643
61450,176.3368378
61568,180.8842163
61670,176.9263
61853,176.3368378
61971,180.6315613
62155,177.9368286
62272,174.5684052
62458,180.8842163
62576,179.5368347
62676,174.9894714
62859,178.1894684
62977,179.9578857
63161,175.3263092
63277,109.8947449
63462,10.44210815
63566,6.063156128
63768,5.473678589
63885,9.600006104
64169,164.5473633
64290,178.6947327
64472,179.5368347
64589,175.0737
64692,177.7684326
64874,180.8842163
64994,176.1684265
65177,177.1789398
65295,181.4736938
65478,176.9263
65596,175.8315735
65698,179.621048
65881,177.5157928
65998,175.4105377
66183,179.8736877
66303,179.2841949
66485,174.1473694
66604,158.3157959
66787,31.41052246
66908,7.410522461
67008,6.652633667
67191,6.989471436
67312,29.89474487
67492,125.9789581
67613,178.0210571
67794,178.1052704
67907,174.7368469
67999,180.1263275
68201,181.6420898
68317,176.8421021
68500,179.9578857
68616,181.8947296
68802,176.3368378
68915,176.9263
69006,181.3052521
69205,177.9368286
69324,176.0842285
69508,180.7157898
69608,179.621048
69809,175.2420959
69928,179.5368347
70026,180.8842163
70214,175.8315735
70328,178.2736664
70514,180.9684143
70632,176.1684265
70816,176
70934,180.8000031
71036,177.6842041
71221,177.7684326
71337,182.0631561
71520,181.2210541
71641,177.2631531
71822,181.7263184
71927,184.1684265
72042,179.7052612
72229,180.8000031
72353,184.1684265
72528,180.378952
72646,179.7894897
72829,184.2526245
72933,180.378952
73131,178.7789612
73250,183.3263092
73336,182.9052582
73534,177.5157928
73653,181.7263184
73837,183.663147
73947,177.2631531
74142,179.3684235
74248,173.8105316
74351,61.81053162
74547,15.49473572
74653,13.30526733
74847,12.29473877
74964,14.3157959
75148,130.7789459
75267,179.7894897
75372,177.1789398
75550,179.7052612
75653,183.3263092
75853,177.8526306
75970,179.1999969
76154,182.7368469
76275,179.7894897
76373,177.9368286
76556,183.494751
76677,180.9684143
76859,177.5999908
76977,181.8947296
77160,183.1578979
77280,176.9263
77379,179.621048
77563,183.663147
77681,177.9368286
77865,177.6842041
77983,182.0631561
78168,110.7368469
78280,15.24211121
78471,9.263153076
78581,44.12631226
78683,189.5579071
78875,179.1999969
78992,181.6420898
79177,176.1684265
79286,179.2841949
79478,182.2315826
79599,177.5157928
79707,177.3473663
79888,181.3052521
