,1,,,2
185437,238.4842072,,184873,188.4631653
185537,239.2420959,,184978,188.2105408
185737,238.0631714,,185174,187.53685
185837,238.8210602,,185239,upTop1
186038,238.1473694,,185291,187.3684082
186138,239.0737,,185378,188.2105408
186339,240.5052643,,185575,187.7894745
186439,243.4526367,,185713,186.8631744
186639,243.115799,,185875,188.1263123
186740,244.042099,,185979,187.7894745
186940,244.1263275,,186176,189.2210693
187041,245.8105316,,186295,188.6315765
187241,247.1578979,,186377,188.7157745
187341,246.6526184,,186577,190.3157959
187542,242.9473572,,186689,189.6421051
187642,69.72631836,,186891,190.5684357
187842,11.28421021,,186991,190.7368317
187943,23.57894897,,187192,190.5684357
188143,49.93684387,,187292,190.3999939
188243,98.77894592,,187392,190.3157959
188444,130.7789459,,187592,190.6526337
188557,118.6526337,,187692,191.2421112
188745,104.0842133,,187893,190.3999939
188845,186.6947327,,188017,187.2842102
189045,240.4210663,,188194,142.8210602
189146,245.8105316,,188298,41.01052856
189346,241.8526306,,188498,39.15789795
189446,242.5263214,,188599,48.92631531
189646,242.4421082,,188699,77.97895813
189747,239.9157715,,188899,152.2526245
189947,238.9052582,,188999,186.7789459
190248,239.9157715,,189200,189.7263031
190348,upTop2,,189301,188.6315765
190348,239.6631622,,189502,188.8000031
190549,240.1684265,,189606,187.705246
190649,239.3263092,,189703,186.7789459
190849,242.1894684,,189903,187.7894745
190949,242.6947327,,190004,187.705246
191150,243.4526367,,190204,187.1157837
191250,243.7894897,,190348,upTop2
191451,245.6420898,,190311,187.53685
191551,246.8210602,,190505,188.1263123
191751,246.1473846,,190609,187.3684082
191852,145.0947418,,190712,188.2105408
192052,24.33683777,,190906,188.7157745
192253,21.13684082,,191008,189.6421051
192353,45.13684082,,191207,190.0631409
192554,50.27368164,,191310,190.8210602
192656,98.18948364,,191507,191.5789642
192756,129.5157928,,191612,190.1473694
192955,100.2105255,,192409,191
193057,76.96842957,,192409,19.28421021
193255,135.7473755,,192610,153.8526306
193355,239.7473755,,192710,41.17895508
193556,241.0947418,,192910,39.32632446
193757,243.3684235,,193010,55.49473572
193870,243.4526367,,193111,67.19999695
194057,241.0947418,,193313,121.7684174
194181,238.1473694,,193415,185.7684174
194360,upTop3,,193613,190.5684357
194360,238.7368469,,193713,188.9684143
194460,239.0737,,193914,189.6421051
194661,239.1578979,,194014,188.8842163
194762,238.7368469,,194114,187.705246
194961,242.8631592,,194315,187.957901
195063,243.1999969,,194360,upTop3
195265,244.7157898,,194440,185.6000061
195365,246.6526184,,194616,186.8631744
195566,246.8210602,,194716,188.042099
195668,243.8736877,,194917,188.2947388
195869,109.5578918,,195024,188.7157745
195972,17.01052856,,195117,189.8947449
196172,14.73684692,,195318,190.4842072
196274,36.21052551,,195418,190.7368317
196474,51.03158569,,195618,190.3157959
196575,109.3052673,,195719,190.4842072
196777,131.7894745,,195919,190.3999939
196877,127.2421112,,196019,190.9894714
197078,118.1473694,,196119,190.6526337
197180,152,,196320,189.6421051
197379,240.2526245,,196420,181.2210541
197517,243.115799,,196622,96.6736908
197781,242.2736664,,196722,59.87368774
197982,240.5052643,,196922,60.88421631
198083,upTop4,,197123,120.5052643
198083,239.9157715,,197323,186.7789459
198384,240.8421021,,197423,189.0526276
198584,241.2631531,,197624,188.6315765
198691,242.8631592,,197732,187.53685
198885,243.7052612,,197924,188.1263123
198994,242.5263214,,198024,186.6105194
199186,244.8000031,,198083,upTop4
199296,246.8210602,,198225,186.3578796
199587,246.0631561,,198325,186.6947327
199787,105.1789551,,198427,188.2947388
199903,8.926315308,,198625,187.621048
200088,19.11578369,,198725,188.5473785
200201,42.86315918,,198926,189.2210693
200388,52.12631226,,199026,188.8842163
200504,116.7157898,,199227,190.3999939
200789,129.6842041,,199327,190.5684357
200889,76.80000305,,199428,190.3999939
201090,106.4421082,,199628,190.8210602
201190,225.6842041,,199740,190.0631409
201391,239.7473755,,199929,189.7263031
201491,244.1263275,,200029,190.5684357
201692,242.4421082,,200229,189.9789429
201792,242.9473572,,200329,185.5157928
201993,240.5052643,,200436,96.08421326
202094,239.0737,,200630,39.83157349
202294,239.5789337,,200733,39.74737549
202395,238.3157959,,200932,54.23158264
202495,upTop5,,201033,140.042099
202595,239.4947357,,201233,185.2631531
202695,238.2315674,,201335,189.6421051
202896,239.3263092,,201434,190.1473694
202996,240.6736908,,201634,188.9684143
203196,243.7894897,,201738,188.1263123
203297,243.4526367,,201935,187.705246
203497,245.5578918,,202036,187.53685
203698,247.578949,,202235,186.6947327
203798,244.8842163,,202495,upTop5
203998,157.9789429,,202536,186.7789459
204099,13.22105408,,202656,185.6842041
204299,7.242111206,,202758,187.2000122
204399,17.43157959,,202937,187.7894745
204600,45.38948059,,203056,188.4631653
204700,52.21052551,,203439,190.3157959
204901,119.3263245,,203639,190.0631409
205001,129.4315796,,203739,191.4105225
205201,110.5684204,,203840,189.6421051
205301,111.1578979,,204040,190.7368317
205502,157.9789429,,204040,189.9789429
205602,238.4842072,,204343,189.6421051
205803,241.3473663,,204443,190.8210602
205903,241.9368286,,204644,187.53685
206104,243.115799,,204744,135.4947357
206221,242.1052704,,204844,47.24211121
206404,239.4105377,,205044,39.57894897
206404,upTop6,,205145,55.49473572
206506,238.6526337,,205445,135.4105225
206705,239.4947357,,205646,185.8526459
206805,238.6526337,,205746,188.9684143
207005,239.9157715,,205847,189.9789429
207106,240.3368378,,206047,187.8736877
207306,244.5473633,,206147,188.8842163
207406,244.1263275,,206348,187.2842102
207607,246.0631561,,206448,186.8631744
207707,247.3263092,,206404,upTop6
207908,248.5052795,,206648,185.3473511
208008,239.4947357,,206748,186.3578796
208217,45.38948059,,206949,187.1157837
208309,20.63157654,,207049,188.7157745
208510,24.84210205,,207149,188.8000031
