,1,,,2
51024,240.8421021,,47626,182.0631561
51130,247.578949,,47726,180.042099
51325,246.2315826,,48026,180.5473633
51457,246.7368469,,48131,181.8105316
51627,245.8947296,,48327,180.9684143
51728,245.6420898,,48427,180.5473633
51928,244.5473633,,48628,179.8736877
52129,245.7263184,,48628,toRight8
52231,244.8842163,,48728,180.4631653
52433,245.1368561,,48928,179.5368347
52560,244.5473633,,49028,178.6947327
52435,toRight9,,49129,178.7789612
52734,245.3052521,,49329,178.6947327
52859,244.8842163,,49430,180.5473633
53037,245.0526276,,49630,180.9684143
53137,245.8105316,,49730,181.3894806
53345,247.0736847,,49930,182.2315826
53445,248.1684265,,50031,181.3052521
53645,247.7473755,,50131,177.2631531
53769,247.8315887,,50331,45.72631836
53946,248.421051,,50431,135.9157867
54046,248.5052795,,50632,179.2841949
54247,246.8210602,,50732,183.3263092
54347,243.1999969,,50932,182.4842224
54547,238.6526337,,51032,183.0736847
54677,111.3263245,,51132,181.3894806
54849,70.40000916,,51333,181.5578918
54961,221.8105316,,51433,181.6420898
55152,245.0526276,,51633,178.7789612
55252,246.2315826,,51733,179.5368347
55453,246.7368469,,51934,180.6315613
55553,245.8947296,,52034,181.9789429
55764,246.8210602,,52134,180.8842163
55885,245.3052521,,52334,182.9894562
56058,245.4736938,,52435,180.8842163
56158,244.7157898,,52435,toRight9
56359,245.0526276,,53136,175
56660,244.8842163,,53136,18.94737244
56782,245.9789429,,53337,182.4842224
56744,toRight10,,53437,182.2315826
56961,245.5578918,,53537,182.0631561
57061,245.3894806,,53738,181.8947296
57263,244.7157898,,53838,181.3894806
57363,246.2315826,,54038,180.042099
57564,246.1473846,,54138,124.8000031
57664,246.4842224,,54339,45.22105408
57865,247.8315887,,54439,175.8315735
58166,247.9999847,,54639,178.5263214
58291,247.9157867,,54740,182.3999939
58467,247.494751,,54840,183.0736847
58575,245.8947296,,55040,183.1578979
58768,240.9263,,55140,182.4842224
58868,238.8210602,,55341,182.0631561
59069,159.4947357,,55442,180.7157898
59169,72.25263977,,55641,179.7052612
59369,226.2736969,,55814,179.8736877
59500,242.7789612,,55851,179.621048
59670,245.8105316,,56043,179.7052612
59782,246.7368469,,56157,180.2105255
59978,244.5473633,,56344,180.4631653
60125,245.8105316,,56474,180.2105255
60279,246.1473846,,56744,toRight10
60483,244.9684143,,56744,179.8736877
60615,244.2105255,,56852,180.042099
60884,245.3052521,,57045,178.1052704
